Date,Open,High,Low,Close,Adj Close,Volume
2011-07-18,57.000000,57.259998,56.250000,57.209999,48.590797,2296200
2011-07-19,57.799999,58.730000,57.799999,58.529999,49.711922,2331500
2011-07-20,58.650002,58.700001,58.009998,58.340000,49.550560,1354200
2011-07-21,59.279999,60.119999,58.930000,59.770000,50.765118,3361500
2011-07-22,60.560001,60.669998,59.840000,60.570000,51.444588,1361300
2011-07-25,60.080002,60.520000,59.939999,60.320000,51.232250,1133200
2011-07-26,60.380001,64.830002,59.919998,64.500000,54.782497,7480900
2011-07-27,63.910000,63.930000,62.500000,62.570000,53.143269,3559300
2011-07-28,62.520000,63.139999,62.209999,62.500000,53.083817,2265000
2011-07-29,61.450001,63.080002,61.209999,62.410000,53.007370,1244400
2011-08-01,63.169998,63.220001,60.540001,61.410000,52.158028,1643400
2011-08-02,60.060001,60.750000,59.220001,59.279999,50.348934,1749200
2011-08-03,59.880001,60.009998,58.279999,59.799999,50.790588,1631000
2011-08-04,57.840000,58.070000,55.720001,55.860001,47.444191,2952200
2011-08-05,56.709999,57.200001,54.470001,56.349998,47.860359,3957800
2011-08-08,53.180000,53.889999,51.220001,51.270000,43.545712,2485300
2011-08-09,53.080002,54.259998,51.270000,54.200001,46.034279,2161100
2011-08-10,52.480000,52.529999,49.779999,50.009998,42.475544,3587300
2011-08-11,50.480000,52.619999,50.160000,51.959999,44.131763,2299200
2011-08-12,52.810001,53.259998,51.570000,52.860001,44.896160,2407900
2011-08-15,53.730000,54.130001,53.150002,53.759998,45.660568,1312900
2011-08-16,52.990002,54.009998,52.660000,53.160000,45.150970,1365800
2011-08-17,52.840000,53.580002,51.840000,52.349998,44.462997,1205100
2011-08-18,49.910000,49.919998,48.310001,48.900002,41.532776,2961600
2011-08-19,48.389999,49.939999,48.290001,48.720001,41.379898,2415100
2011-08-22,50.779999,50.779999,49.180000,49.480000,42.025391,1702300
2011-08-23,50.770000,51.660000,50.430000,51.660000,43.876957,1765200
2011-08-24,52.549999,53.049999,51.830002,52.700001,44.760269,2024400
2011-08-25,52.480000,52.700001,50.919998,51.220001,43.503246,1743500
2011-08-26,51.869999,53.259998,51.330002,53.130001,45.125488,2833900
2011-08-29,53.660000,54.400002,53.610001,54.380001,46.187168,1231000
2011-08-30,53.250000,54.169998,52.880001,53.889999,45.770992,1455500
2011-08-31,54.650002,55.540001,54.220001,54.509998,46.297573,1916100
2011-09-01,53.770000,54.470001,53.330002,53.759998,45.660568,3002300
2011-09-02,52.540001,52.799999,51.840000,51.990002,44.157249,1320200
2011-09-06,49.919998,50.990002,49.880001,50.900002,43.231464,1580500
2011-09-07,51.860001,52.910000,51.730000,52.910000,44.938641,1218800
2011-09-08,51.779999,52.509998,51.130001,51.279999,43.554207,2162400
2011-09-09,50.189999,50.470001,49.110001,49.230000,41.813061,2588900
2011-09-12,47.919998,49.169998,47.889999,49.150002,41.745113,2874900
2011-09-13,48.480000,49.490002,48.340000,49.430000,41.982925,2660500
2011-09-14,49.150002,50.680000,48.380001,50.290001,42.713367,4657200
2011-09-15,51.419998,51.820000,50.759998,51.689999,43.902435,2442600
2011-09-16,51.590000,52.070000,51.000000,51.639999,43.859974,2487400
2011-09-19,49.320000,50.700001,48.790001,50.459999,42.857750,2753200
2011-09-20,50.869999,51.450001,50.320000,50.590000,42.968163,2237100
2011-09-21,51.450001,52.250000,50.180000,50.200001,42.636917,2644900
2011-09-22,48.590000,49.169998,48.169998,48.709999,41.371403,2324800
2011-09-23,47.430000,48.900002,47.389999,48.779999,41.430855,2567100
2011-09-26,49.220001,49.930000,48.310001,49.900002,42.382122,1568900
2011-09-27,51.160000,51.689999,50.889999,51.340000,43.605171,2917400
2011-09-28,52.779999,53.180000,51.209999,51.330002,43.596676,2277200
2011-09-29,52.799999,53.029999,51.250000,52.160000,44.301632,1886800
2011-09-30,50.840000,51.619999,50.580002,50.619999,42.993641,2541500
2011-10-03,49.730000,50.549999,48.389999,48.389999,41.099617,1836700
2011-10-04,48.500000,50.009998,47.860001,49.990002,42.458561,2300000
2011-10-05,50.310001,51.330002,49.910000,51.290001,43.562698,2762800
2011-10-06,50.880001,52.630001,50.700001,52.590000,44.666847,1371700
2011-10-07,53.099998,53.549999,52.410000,52.509998,44.598900,1353300
2011-10-10,53.720001,54.910000,53.669998,54.759998,46.509914,1212400
2011-10-11,54.490002,55.139999,54.330002,55.099998,46.798687,1093600
2011-10-12,55.369999,56.259998,54.939999,55.689999,47.299805,1321000
2011-10-13,55.500000,56.200001,55.029999,56.160000,47.698990,1116200
2011-10-14,57.419998,57.990002,57.099998,57.650002,48.964516,1447700
2011-10-17,57.139999,57.180000,56.650002,56.720001,48.174625,1483200
2011-10-18,57.189999,58.750000,56.709999,58.340000,49.550560,1506000
2011-10-19,57.360001,57.910000,56.860001,56.950001,48.369972,1327200
2011-10-20,57.320000,57.560001,56.529999,57.389999,48.743683,920600
2011-10-21,58.380001,58.860001,58.189999,58.860001,49.992214,686700
2011-10-24,58.470001,59.669998,58.459999,59.669998,50.680180,920100
2011-10-25,59.669998,59.900002,58.650002,59.320000,50.382912,1175600
2011-10-26,61.000000,61.200001,59.400002,60.619999,51.487049,2123400
2011-10-27,61.889999,63.430000,61.340000,62.720001,53.270668,2332700
2011-10-28,62.080002,62.709999,61.950001,62.540001,53.117786,1440200
2011-10-31,61.220001,61.580002,60.360001,60.360001,51.266224,2516400
2011-11-01,58.290001,59.650002,58.040001,58.959999,50.077145,2825900
2011-11-02,59.709999,60.639999,59.430000,60.250000,51.172794,1526300
2011-11-03,60.849998,62.150002,59.889999,61.980000,52.642151,2196000
2011-11-04,60.860001,61.360001,60.500000,61.070000,51.869259,2982700
2011-11-07,60.480000,61.240002,60.060001,61.130001,51.920223,3846600
2011-11-08,61.720001,62.139999,60.970001,62.040001,52.693111,1904800
2011-11-09,59.580002,59.799999,58.139999,58.480000,49.669464,2498100
2011-11-10,59.610001,59.869999,58.580002,59.689999,50.697163,1773000
