Date,Open,High,Low,Close,Adj Close,Volume
7/18/2011,13.051071,13.380357,13.045714,13.35,11.479702,572653200
7/19/2011,13.5,13.523214,13.332857,13.458929,11.573372,819145600
7/20/2011,14.147143,14.1525,13.785714,13.817857,11.882014,941340400
7/21/2011,13.819643,13.930714,13.710714,13.831786,11.893992,526534400
7/22/2011,13.868571,14.108929,13.848214,14.046429,12.078565,516728800
7/25/2011,13.941071,14.285714,13.915,14.232143,12.23826,589806000
7/26/2011,14.285714,14.446429,14.274286,14.4075,12.389052,476582400
7/27/2011,14.306786,14.38,14.005357,14.021071,12.056762,659324400
7/28/2011,13.986429,14.178214,13.861786,13.993571,12.033109,594034000
7/29/2011,13.844286,14.1125,13.714286,13.945714,11.991956,632584400
8/1/2011,14.206429,14.267857,14.013214,14.169643,12.184517,612836000
8/2/2011,14.201786,14.210714,13.869643,13.889643,11.943745,639539600
8/3/2011,13.963571,14.055357,13.651429,14.020357,12.056144,732508000
8/4/2011,13.9075,13.975714,13.476786,13.4775,11.589339,871407600
8/5/2011,13.587143,13.696429,12.948929,13.343571,11.474173,1204590800
8/8/2011,12.9175,13.134643,12.607857,12.614643,10.847367,1143833600
8/9/2011,12.903571,13.378929,12.678571,13.3575,11.486154,1082583600
8/10/2011,13.255357,13.380357,12.946429,12.988929,11.169219,878656800
8/11/2011,13.232857,13.408929,13.025714,13.346429,11.47663,741969200
8/12/2011,13.5025,13.558571,13.365357,13.463929,11.577671,528976000
8/15/2011,13.558214,13.748929,13.503214,13.693214,11.774836,460544000
8/16/2011,13.625714,13.691786,13.430714,13.588571,11.684852,498750000
8/17/2011,13.653929,13.732857,13.5,13.587143,11.683623,442061200
8/18/2011,13.244286,13.308929,12.906071,13.073214,11.241695,851435200
8/19/2011,12.934643,13.107143,12.714286,12.715357,10.93397,775888400
8/22/2011,13.018214,13.031429,12.681786,12.73,10.946565,535315200
8/23/2011,12.867857,13.344286,12.75,13.342857,11.473561,656835200
8/24/2011,13.338214,13.534286,13.235714,13.435,11.552796,626267600
8/25/2011,13.038571,13.408929,13.035714,13.347143,11.477246,871346000
8/26/2011,13.256071,13.707143,13.242857,13.699286,11.780051,641477200
8/29/2011,13.863571,13.982143,13.857143,13.9275,11.976296,405269200
8/30/2011,13.866071,13.994286,13.793214,13.928214,11.976912,417922400
8/31/2011,13.948929,14.002857,13.637857,13.743929,11.818443,522586400
9/1/2011,13.779286,13.833571,13.597143,13.608214,11.701739,343725200
9/2/2011,13.383571,13.5,13.279643,13.358929,11.487382,438939200
9/6/2011,13.120357,13.583214,13.088571,13.562143,11.662126,509698000
9/7/2011,13.77,13.771429,13.642857,13.711786,11.790804,350576800
9/8/2011,13.657143,13.878929,13.653929,13.719286,11.797256,416158400
9/9/2011,13.711786,13.785714,13.393571,13.481429,11.59272,564813200
9/12/2011,13.321429,13.602857,13.282143,13.569286,11.668268,467832400
9/13/2011,13.647857,13.793214,13.580357,13.736429,11.811995,440560400
9/14/2011,13.822143,14.0075,13.777143,13.903571,11.955722,534724400
9/15/2011,13.979643,14.059286,13.925,14.034286,12.068122,417818800
9/16/2011,14.126429,14.303571,14.108214,14.303571,12.299682,698513200
9/19/2011,14.178571,14.758214,14.114286,14.701071,12.64149,823860800
9/20/2011,14.830357,15.102143,14.685357,14.766071,12.697386,775754000
9/21/2011,14.987143,15.056786,14.714286,14.719286,12.657156,605976000
9/22/2011,14.3225,14.636429,14.167857,14.350714,12.340218,968480800
9/23/2011,14.295714,14.526429,14.280357,14.439286,12.416384,546277200
9/26/2011,14.280714,14.427857,13.975,14.398929,12.381678,812876400
9/27/2011,14.5975,14.616071,14.216429,14.259286,12.261599,632497600
9/28/2011,14.2925,14.419286,14.161071,14.178929,12.192502,429637600
9/29/2011,14.354286,14.364643,13.793214,13.948929,11.994723,651086800
9/30/2011,13.825714,13.888929,13.613571,13.618571,11.71065,547640800
10/3/2011,13.584643,13.665714,13.3275,13.378571,11.504272,669099200
10/4/2011,13.3775,13.635714,12.651429,13.303571,11.439778,1233677200
10/5/2011,13.137857,13.565,12.867857,13.508929,11.616369,786469600
10/6/2011,13.333214,13.742143,13.278571,13.4775,11.589339,812582400
10/7/2011,13.420714,13.490714,13.160357,13.207143,11.35686,535458000
10/10/2011,13.538929,13.886071,13.5075,13.886071,11.940673,442514800
10/11/2011,14.020357,14.399286,13.982143,14.296071,12.293234,605687600
10/12/2011,14.547857,14.616071,14.290714,14.363929,12.351583,622286000
10/13/2011,14.463571,14.586786,14.3875,14.586786,12.543222,426185200
10/14/2011,14.886786,15.071429,14.831071,15.071429,12.959966,573367200
10/17/2011,15.062143,15.239286,14.855,14.999643,12.898233,686044800
10/18/2011,15.062857,15.171786,14.856786,15.08,12.967335,881602400
10/19/2011,14.333929,14.586429,14.207143,14.236429,12.241946,1104059600
10/20/2011,14.285714,14.298214,14.078929,14.118214,12.140292,549270400
10/21/2011,14.217857,14.255,13.955357,14.031071,12.065359,621244400
10/24/2011,14.149286,14.517857,14.121429,14.491786,12.46153,502138000
10/25/2011,14.465357,14.519643,14.192143,14.206071,12.215838,430427200
10/26/2011,14.348571,14.376786,14.041071,14.307143,12.302752,456304800
10/27/2011,14.555714,14.607143,14.353214,14.453214,12.42836,494664800
10/28/2011,14.392857,14.5125,14.375357,14.4625,12.436344,322842800
10/31/2011,14.372143,14.618929,14.323214,14.456429,12.431125,385501200
11/1/2011,14.193214,14.267857,14.043571,14.161071,12.177142,531790000
11/2/2011,14.288929,14.301429,14.111071,14.193214,12.204785,327350800
11/3/2011,14.2525,14.407143,14.12,14.395357,12.378609,441386400
11/4/2011,14.358214,14.408571,14.255714,14.294286,12.291699,302229200
11/7/2011,14.2825,14.285714,14.1475,14.276071,12.276031,270275600
11/8/2011,14.364643,14.571429,14.341429,14.508214,12.475656,400442000
11/9/2011,14.1775,14.3175,14.079643,14.117143,12.139372,558684000
11/10/2011,14.179643,14.186071,13.648214,13.757857,11.830421,744752400
11/11/2011,13.8075,13.882143,13.580714,13.736429,11.811995,653786000
11/14/2011,13.697143,13.758929,13.507143,13.545,11.647381,432905200
11/15/2011,13.6,13.910714,13.551786,13.886786,11.941287,430810800
11/16/2011,13.901786,13.969286,13.725714,13.741786,11.816601,349210400
11/17/2011,13.713571,13.735,13.410714,13.478929,11.590567,479900400
11/18/2011,13.532857,13.571071,13.388571,13.390714,11.514712,371938000
11/21/2011,13.228571,13.274286,13.068214,13.178929,11.332597,447980400
11/22/2011,13.250714,13.4975,13.247857,13.446786,11.562929,409021200
11/23/2011,13.375357,13.422857,13.102857,13.106786,11.270562,428271200
11/25/2011,13.157857,13.255357,12.975714,12.984643,11.165533,254760800
11/28/2011,13.298214,13.454286,13.226071,13.432857,11.550951,346413200
11/29/2011,13.422857,13.529643,13.221429,13.328571,11.461278,375855200
11/30/2011,13.6175,13.652857,13.510714,13.65,11.737673,405938400
12/1/2011,13.662143,13.892857,13.598214,13.854643,11.913649,387181200
12/2/2011,13.9225,14.058214,13.877857,13.917857,11.968005,379055600
12/5/2011,14.053214,14.1575,13.9425,14.036071,12.069658,357210000
12/6/2011,14.018214,14.093929,13.906429,13.9625,12.006392,283598000
12/7/2011,13.926071,13.962143,13.812857,13.896071,11.949272,304746400
12/8/2011,13.980357,14.125,13.936786,13.952143,11.997489,376356400
12/9/2011,14.030357,14.072857,13.965357,14.057857,12.088391,296993200
12/12/2011,13.988571,14.067857,13.908929,13.994286,12.033725,301067200
12/13/2011,14.035714,14.121429,13.825,13.886071,11.940673,338928800
12/14/2011,13.810714,13.835,13.488571,13.578214,11.675943,406887600
12/15/2011,13.690357,13.705,13.511071,13.533571,11.637555,256200000
12/16/2011,13.584286,13.719643,13.556071,13.607857,11.701436,421478400
12/19/2011,13.659643,13.744643,13.588571,13.650357,11.73798,235530400
12/20/2011,13.848571,14.146429,13.830714,14.141071,12.159946,337215200
12/21/2011,14.1675,14.189286,14.000357,14.158929,12.175302,262948000
12/22/2011,14.178571,14.254643,14.146429,14.233929,12.239794,202358800
12/23/2011,14.274643,14.413929,14.2675,14.404643,12.386595,269399200
12/27/2011,14.396429,14.610357,14.393571,14.518929,12.484868,265076000
12/28/2011,14.531786,14.580357,14.333571,14.38,12.365404,228662000
12/29/2011,14.407143,14.4875,14.303929,14.468571,12.441566,215978000
12/30/2011,14.411071,14.51,14.410357,14.464286,12.437883,179662000
1/3/2012,14.621429,14.732143,14.607143,14.686786,12.629209,302220800
1/4/2012,14.642857,14.81,14.617143,14.765714,12.697079,260022000
1/5/2012,14.819643,14.948214,14.738214,14.929643,12.838044,271269600
1/6/2012,14.991786,15.098214,14.972143,15.085714,12.972249,318292800
1/9/2012,15.196429,15.276786,15.048214,15.061786,12.951672,394024400
1/10/2012,15.211071,15.214286,15.053571,15.115714,12.998045,258196400
1/11/2012,15.095714,15.101786,14.975357,15.091071,12.976856,215084800
1/12/2012,15.081429,15.103571,14.955357,15.049643,12.941231,212587200
1/13/2012,14.989286,15.016071,14.952143,14.993214,12.892705,226021600
1/17/2012,15.15,15.213929,15.105714,15.167857,13.042884,242897200
1/18/2012,15.248571,15.338214,15.225,15.325357,13.178317,276791200
1/19/2012,15.3625,15.406071,15.2325,15.276786,13.136552,261738400
1/20/2012,15.2675,15.267857,14.991071,15.010714,12.907756,413974400
1/23/2012,15.095357,15.301786,15.082143,15.264643,13.126109,306062400
1/24/2012,15.182143,15.182143,14.983929,15.014643,12.911133,547638000
1/25/2012,16.23,16.230356,15.8475,15.952143,13.717295,958314000
1/26/2012,16.012857,16.028214,15.826429,15.879643,13.654951,323985200
1/27/2012,15.869286,16.017143,15.848929,15.974286,13.736333,299709200
1/30/2012,15.918214,16.210714,15.906786,16.178928,13.912306,379341200
1/31/2012,16.27107,16.365713,16.18107,16.302856,14.01887,391683600
2/1/2012,16.371786,16.3925,16.269644,16.2925,14.009968,270046000
2/2/2012,16.282143,16.327499,16.213572,16.254286,13.977104,186796400
2/3/2012,16.332144,16.428572,16.27,16.417143,14.117149,286599600
2/6/2012,16.370714,16.606428,16.364286,16.570356,14.248899,249412800
2/7/2012,16.616072,16.776787,16.592142,16.743929,14.398152,316223600
2/8/2012,16.803572,17.028214,16.775,17.024286,14.639234,407890000
2/9/2012,17.17,17.741072,17.162857,17.613214,15.145652,884214800
2/10/2012,17.534286,17.772142,17.448214,17.622143,15.153331,631302000
2/13/2012,17.840357,17.993929,17.753214,17.950001,15.435258,517216000
2/14/2012,18.023571,18.19857,17.928572,18.195,15.645934,460398400
2/15/2012,18.366428,18.79607,17.746071,17.77393,15.283856,1506120000
2/16/2012,17.553572,18.031786,17.379642,17.936071,15.423281,944552000
2/17/2012,17.968214,18.134644,17.867857,17.932858,15.420515,535805200
2/21/2012,18.102858,18.387501,18.004286,18.387501,15.811467,605595200
2/22/2012,18.324286,18.410357,18.18107,18.322857,15.755876,483302400
2/23/2012,18.395714,18.493929,18.196428,18.442499,15.858755,568027600
2/24/2012,18.559643,18.674999,18.522858,18.657499,16.043634,415072000
2/27/2012,18.618214,18.875,18.438572,18.777143,16.146519,547582000
2/28/2012,18.855715,19.121786,18.780357,19.121786,16.442883,600387200
2/29/2012,19.341429,19.557501,19.132143,19.372856,16.658775,952011200
3/1/2012,19.577499,19.57893,19.241785,19.445356,16.721115,683270000
3/2/2012,19.437143,19.52857,19.375713,19.470715,16.742926,431712400
3/5/2012,19.479286,19.552856,18.785713,19.04143,16.373781,809124400
3/6/2012,18.702143,19.060356,18.436428,18.937857,16.284718,810238800
3/7/2012,19.171429,19.206429,18.689285,18.953215,16.297926,798520800
3/8/2012,19.096071,19.3925,19.004286,19.356787,16.644947,516457200
3/9/2012,19.436071,19.562143,19.396786,19.470358,16.742619,418919200
3/12/2012,19.606428,19.714287,19.535713,19.714287,16.952368,407282400
3/13/2012,19.912144,20.292143,19.848213,20.289286,17.446817,690855200
3/14/2012,20.644644,21.24,20.549999,21.056429,18.106482,1418844000
